id,main_speaker,main_speaker_description
0,'Gbenga Sesan,'Gbenga Sesan (born 27 July 1977) is a social entrepreneur who delivers Information and communications technology to the under served.
1,A Tribe Called Red,"The Halluci Nation, formerly known as A Tribe Called Red, is a Canadian electronic music group who blend instrumental hip hop, reggae, moombahton and dubstep-influenced dance music with elements of First Nations music, particularly vocal chanting and drumming."
2,A. Dara Dotz,
3,A.J. Jacobs,"Arnold Stephen ""A. J."" Jacobs Jr."
4,Aakash Odedra,
5,Aala El-Khani,"Ahmed Raza Khan, commonly known as Ahmed Raza Khan Barelvi or  Ahmed Rida Khan in Arabic, or simply as ""Ala-Hazrat"" (14 June 1856 CE or 10 Shawwal 1272 AH – 28 October 1921 CE or 25 Safar 1340 AH), was an Islamic scholar, jurist, theologian, ascetic, Sufi, Urdu poet, and reformer of 14th century in Islam."
6,"Aaron Duffy, Lake Buckley and Jack Foster",The following is a list of members of the United States House of Representatives from the state of New York.
7,Aaron Horowitz,"Daniel Aaron Horowitz (born December 14, 1954) is an American defense attorney who has represented several high-profile clients including talk show host Michael Savage and is a frequent commentator in the media on criminal cases in the news."
8,Aaron Huey,Aaron Huey is an American photojournalist and documentary photographer.
9,Aaron Koblin,"Aaron Koblin (born January 14, 1982) is an American digital media artist and entrepreneur best known for his innovative use of data visualization and his pioneering work in crowdsourcing, virtual reality, and interactive film."
10,Aaron Maniam,Aaron Shahril Yusoff Maniam (born 1979) is a poet and civil servant.
11,Aaron O'Connell,"Aaron John O'Connell (born April 8, 1986) is an American model and actor."
12,Aaron Reedy,On Avery Island is the debut studio album by American indie rock band Neutral Milk Hotel.
13,Aaron Sams,"Aaron Sams is one of the developers of the flipped classroom model for education, which seeks to remove lecture from classroom onto video so that teachers can dedicate class time to more interactive activities and extra help."
14,Aaswath Raman,Hafnium(IV) oxide is the inorganic compound with the formula HfO2.
15,Aatish Bhatia,
16,Abbey Williams,"Bath Abbey is a parish church of the Church of England and former Benedictine monastery in Bath, Somerset, England."
17,Abe Davis,Ben Davis (born 19 May 1997) is an Australian rules footballer playing for the Adelaide Football Club in the Australian Football League (AFL).
18,Abena Koomson-Davis,The 2020 Ghanaian general election was held on 7 December 2020 to elect Members of Parliament (MPs) to the 8th Parliament of the Fourth Republic.
19,Abha Dawesar,Abha Dawesar (born 1 January 1974) is an Indian-born novelist writing in English.
20,Abhishek Gopalka,
21,Abigail Disney,"Abigail Edna Disney (born January 24, 1960) is an American documentary film producer, philanthropist, and social activist."
